Filename	Deck Title	Commander	Partner	Companion	Identity	Power Level	Blind Playable	Source	Notes
damage-reflection-combo.dek	Damage Reflection Combo	Akiri, Fearless Voyager			WR	4	N	https://tappedout.net/mtg-decks/damage-reflection-combo/	Jank pile attempting Brash Taunter + Guilty Conscience and similar combos
kingmaker-atraxa.dek	Kingmaker Atraxa	Atraxa, Praetors' Voice			WUBG	3	N	https://tappedout.net/mtg-decks/kingmaker-atraxa/	Tries to kingmake an opponent, and then kill self
split-second-combo.dek	Split Second Combo	Breya, Etherium Shaper			WUBR	4	N	https://tappedout.net/mtg-decks/split-second-combo/	Trying to win with Nim Deathmantle combos with a Split Second spell on the stack
trying-to-break-barren-glory.dek	Barren Glory	Garth One-Eye			WUBRG	3	N	https://tappedout.net/mtg-decks/trying-to-break-barren-glory/	Probably don't play this without reading the cheatsheet: https://tappedout.net/mtg-decks/trying-to-break-barren-glory/
oloro-phage-fractured-identity.dek	Phage / Fractured Identity	Oloro, Ageless Ascetic			WUB	5	N	https://tappedout.net/mtg-decks/oloro-phage-fractured-identity/	Only trying to win with Phage / Fractured Identity combo
repay-in-kind.dek	Repay in Kind	Selenia, Dark Angel			WB	4	N	https://www.moxfield.com/decks/fAy8qLNmLUaEV_vLJIqa5g	Trying to win with Repay in Kind at <1ish life
akroma-tymna-angels.dek	Keyword Angels	Akroma, Vision of Ixidor	Tymna the Weaver		WB	5	Y	https://www.moxfield.com/decks/OnOsT5q-1UiQgziUojsU8g	Untested Angel Tribal
08-11-20-arcades.dek	Wall Tribal	Arcades, the Strategist			WUG	5	Y	https://tappedout.net/mtg-decks/08-11-20-arcades/	Attack with walls, what more do you want
chulane-draw-tribal.dek	"Draw a card" Tribal	Chulane, Teller of Tales			WUG	5	Y	https://tappedout.net/mtg-decks/chulane-draw-tribal/	Draw more cards
max-storm.dek	Max Storm	Elmar, Ulvenwald Informant			RG	5	Y	https://www.moxfield.com/decks/OGHxgeBHYEeFJFqHzK8Nlw	Should be played with "Max, the Daredevil".  Janky rampy not really stormy deck. Intentionally partnerless
florian-obosh-dragons-approach.dek	Odd Dragon Florian	Florian, Voldaren Scion		Obosh, the Preypiercer	BR	5	Y	https://tappedout.net/mtg-decks/florian-obosh-dragons-approach/	Dragon's Approach Florian Burn
21-02-22-YtT-go-shintai-of-lifes-origin.dek	Go-Shintai Shrines	Go-Shintai of Life's Origin			WUBRG	4	Y	https://tappedout.net/mtg-decks/21-02-22-YtT-go-shintai-of-lifes-origin/	Typical Go-Shintai deck
